"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2019-08",5.223804,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.160942,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.271043,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.15723,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.046326,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.311689,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.13366,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.271841,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.37428,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.01855,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.353493,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.447852,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.758117,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.854742,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.936029,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.83282,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.57785,
"AUS","HUR","TOT","PC_LF","M","2021-01",6.399354,
"AUS","HUR","TOT","PC_LF","M","2021-02",5.862513,
"AUS","HUR","TOT","PC_LF","M","2021-03",5.693571,
"AUS","HUR","TOT","PC_LF","M","2021-04",5.47039,
"AUS","HUR","TOT","PC_LF","M","2021-05",5.064299,
"AUS","HUR","TOT","PC_LF","M","2021-06",4.905563,
"AUS","HUR","TOT","PC_LF","M","2021-07",4.627531,
"AUS","HUR","TOT","PC_LF","M","2021-08",4.524375,
"AUT","HUR","TOT","PC_LF","M","2019-08",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-09",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2019-10",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-11",4.3,"P"
"AUT","HUR","TOT","PC_LF","M","2019-12",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-01",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2020-04",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-05",7.2,"P"
"AUT","HUR","TOT","PC_LF","M","2020-06",7.7,"P"
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-09",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-11",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2021-01",7.3,"P"
"AUT","HUR","TOT","PC_LF","M","2021-02",7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-03",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-04",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2021-07",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2021-08",6.1,"P"
"BEL","HUR","TOT","PC_LF","M","2019-08",5.1,
"BEL","HUR","TOT","PC_LF","M","2019-09",5.1,
"BEL","HUR","TOT","PC_LF","M","2019-10",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-11",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-12",5.3,
"BEL","HUR","TOT","PC_LF","M","2020-01",5.2,
"BEL","HUR","TOT","PC_LF","M","2020-02",5,
"BEL","HUR","TOT","PC_LF","M","2020-03",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-04",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-05",5,
"BEL","HUR","TOT","PC_LF","M","2020-06",5.4,
"BEL","HUR","TOT","PC_LF","M","2020-07",6,
"BEL","HUR","TOT","PC_LF","M","2020-08",6.4,
"BEL","HUR","TOT","PC_LF","M","2020-09",6.3,
"BEL","HUR","TOT","PC_LF","M","2020-10",5.8,
"BEL","HUR","TOT","PC_LF","M","2020-11",5.7,
"BEL","HUR","TOT","PC_LF","M","2020-12",6,"B"
"BEL","HUR","TOT","PC_LF","M","2021-01",6.5,
"BEL","HUR","TOT","PC_LF","M","2021-02",6.7,
"BEL","HUR","TOT","PC_LF","M","2021-03",6.7,
"BEL","HUR","TOT","PC_LF","M","2021-04",6.5,
"BEL","HUR","TOT","PC_LF","M","2021-05",6.3,
"BEL","HUR","TOT","PC_LF","M","2021-06",6.2,
"BEL","HUR","TOT","PC_LF","M","2021-07",6.2,
"BEL","HUR","TOT","PC_LF","M","2021-08",6.4,
"CAN","HUR","TOT","PC_LF","M","2019-08",5.8,
"CAN","HUR","TOT","PC_LF","M","2019-09",5.6,
"CAN","HUR","TOT","PC_LF","M","2019-10",5.6,
"CAN","HUR","TOT","PC_LF","M","2019-11",5.9,
"CAN","HUR","TOT","PC_LF","M","2019-12",5.7,
"CAN","HUR","TOT","PC_LF","M","2020-01",5.6,
"CAN","HUR","TOT","PC_LF","M","2020-02",5.7,
"CAN","HUR","TOT","PC_LF","M","2020-03",7.9,
"CAN","HUR","TOT","PC_LF","M","2020-04",13.1,
"CAN","HUR","TOT","PC_LF","M","2020-05",13.7,
"CAN","HUR","TOT","PC_LF","M","2020-06",12.5,
"CAN","HUR","TOT","PC_LF","M","2020-07",10.9,
"CAN","HUR","TOT","PC_LF","M","2020-08",10.2,
"CAN","HUR","TOT","PC_LF","M","2020-09",9.2,
"CAN","HUR","TOT","PC_LF","M","2020-10",9,
"CAN","HUR","TOT","PC_LF","M","2020-11",8.6,
"CAN","HUR","TOT","PC_LF","M","2020-12",8.8,
"CAN","HUR","TOT","PC_LF","M","2021-01",9.4,
"CAN","HUR","TOT","PC_LF","M","2021-02",8.2,
"CAN","HUR","TOT","PC_LF","M","2021-03",7.5,
"CAN","HUR","TOT","PC_LF","M","2021-04",8.1,
"CAN","HUR","TOT","PC_LF","M","2021-05",8.2,
"CAN","HUR","TOT","PC_LF","M","2021-06",7.8,
"CAN","HUR","TOT","PC_LF","M","2021-07",7.5,
"CAN","HUR","TOT","PC_LF","M","2021-08",7.1,
"CAN","HUR","TOT","PC_LF","M","2021-09",6.9,
"CZE","HUR","TOT","PC_LF","M","2019-08",2,
"CZE","HUR","TOT","PC_LF","M","2019-09",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-10",2.2,
"CZE","HUR","TOT","PC_LF","M","2019-11",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-12",2,
"CZE","HUR","TOT","PC_LF","M","2020-01",1.9,
"CZE","HUR","TOT","PC_LF","M","2020-02",1.8,
"CZE","HUR","TOT","PC_LF","M","2020-03",1.9,
"CZE","HUR","TOT","PC_LF","M","2020-04",2.2,
"CZE","HUR","TOT","PC_LF","M","2020-05",2.4,
"CZE","HUR","TOT","PC_LF","M","2020-06",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-07",2.9,
"CZE","HUR","TOT","PC_LF","M","2020-08",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-09",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-10",3.1,
"CZE","HUR","TOT","PC_LF","M","2020-11",2.9,
"CZE","HUR","TOT","PC_LF","M","2020-12",3.2,
"CZE","HUR","TOT","PC_LF","M","2021-01",3.2,
"CZE","HUR","TOT","PC_LF","M","2021-02",3.2,
"CZE","HUR","TOT","PC_LF","M","2021-03",3.4,
"CZE","HUR","TOT","PC_LF","M","2021-04",3.3,
"CZE","HUR","TOT","PC_LF","M","2021-05",3.1,
"CZE","HUR","TOT","PC_LF","M","2021-06",2.8,
"CZE","HUR","TOT","PC_LF","M","2021-07",2.8,
"CZE","HUR","TOT","PC_LF","M","2021-08",2.9,
"DNK","HUR","TOT","PC_LF","M","2019-08",4.9,
"DNK","HUR","TOT","PC_LF","M","2019-09",5.2,
"DNK","HUR","TOT","PC_LF","M","2019-10",5.2,
"DNK","HUR","TOT","PC_LF","M","2019-11",5.1,
"DNK","HUR","TOT","PC_LF","M","2019-12",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-01",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-02",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-03",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-04",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-05",5.5,
"DNK","HUR","TOT","PC_LF","M","2020-06",6.1,
"DNK","HUR","TOT","PC_LF","M","2020-07",6.5,
"DNK","HUR","TOT","PC_LF","M","2020-08",6.3,
"DNK","HUR","TOT","PC_LF","M","2020-09",6.1,
"DNK","HUR","TOT","PC_LF","M","2020-10",6,
"DNK","HUR","TOT","PC_LF","M","2020-11",5.9,
"DNK","HUR","TOT","PC_LF","M","2020-12",6,
"DNK","HUR","TOT","PC_LF","M","2021-01",6.1,
"DNK","HUR","TOT","PC_LF","M","2021-02",6,
"DNK","HUR","TOT","PC_LF","M","2021-03",5.7,
"DNK","HUR","TOT","PC_LF","M","2021-04",5.4,
"DNK","HUR","TOT","PC_LF","M","2021-05",5,
"DNK","HUR","TOT","PC_LF","M","2021-06",4.6,
"DNK","HUR","TOT","PC_LF","M","2021-07",4.4,
"DNK","HUR","TOT","PC_LF","M","2021-08",4.4,
"FIN","HUR","TOT","PC_LF","M","2019-08",7,
"FIN","HUR","TOT","PC_LF","M","2019-09",6.8,
"FIN","HUR","TOT","PC_LF","M","2019-10",6.8,
"FIN","HUR","TOT","PC_LF","M","2019-11",6.9,
"FIN","HUR","TOT","PC_LF","M","2019-12",6.5,
"FIN","HUR","TOT","PC_LF","M","2020-01",6.8,
"FIN","HUR","TOT","PC_LF","M","2020-02",6.6,
"FIN","HUR","TOT","PC_LF","M","2020-03",6.6,
"FIN","HUR","TOT","PC_LF","M","2020-04",7.1,
"FIN","HUR","TOT","PC_LF","M","2020-05",8.6,
"FIN","HUR","TOT","PC_LF","M","2020-06",7.6,
"FIN","HUR","TOT","PC_LF","M","2020-07",8.4,
"FIN","HUR","TOT","PC_LF","M","2020-08",8.8,
"FIN","HUR","TOT","PC_LF","M","2020-09",8.2,
"FIN","HUR","TOT","PC_LF","M","2020-10",8.1,
"FIN","HUR","TOT","PC_LF","M","2020-11",7.9,
"FIN","HUR","TOT","PC_LF","M","2020-12",8.2,
"FIN","HUR","TOT","PC_LF","M","2021-01",8.4,
"FIN","HUR","TOT","PC_LF","M","2021-02",8,
"FIN","HUR","TOT","PC_LF","M","2021-03",7.5,
"FIN","HUR","TOT","PC_LF","M","2021-04",8.5,
"FIN","HUR","TOT","PC_LF","M","2021-05",8.2,
"FIN","HUR","TOT","PC_LF","M","2021-06",7.7,
"FIN","HUR","TOT","PC_LF","M","2021-07",7.8,
"FIN","HUR","TOT","PC_LF","M","2021-08",7.2,
"FRA","HUR","TOT","PC_LF","M","2019-08",8.2,
"FRA","HUR","TOT","PC_LF","M","2019-09",8.1,
"FRA","HUR","TOT","PC_LF","M","2019-10",8.1,
"FRA","HUR","TOT","PC_LF","M","2019-11",8.1,
"FRA","HUR","TOT","PC_LF","M","2019-12",8.1,
"FRA","HUR","TOT","PC_LF","M","2020-01",8.1,
"FRA","HUR","TOT","PC_LF","M","2020-02",7.7,
"FRA","HUR","TOT","PC_LF","M","2020-03",7.5,
"FRA","HUR","TOT","PC_LF","M","2020-04",7.5,
"FRA","HUR","TOT","PC_LF","M","2020-05",7.1,
"FRA","HUR","TOT","PC_LF","M","2020-06",7.5,
"FRA","HUR","TOT","PC_LF","M","2020-07",8.6,
"FRA","HUR","TOT","PC_LF","M","2020-08",9,
"FRA","HUR","TOT","PC_LF","M","2020-09",8.9,
"FRA","HUR","TOT","PC_LF","M","2020-10",8.3,
"FRA","HUR","TOT","PC_LF","M","2020-11",8,
"FRA","HUR","TOT","PC_LF","M","2020-12",7.8,
"FRA","HUR","TOT","PC_LF","M","2021-01",7.9,
"FRA","HUR","TOT","PC_LF","M","2021-02",8.1,
"FRA","HUR","TOT","PC_LF","M","2021-03",8.2,
"FRA","HUR","TOT","PC_LF","M","2021-04",8.4,
"FRA","HUR","TOT","PC_LF","M","2021-05",8.3,
"FRA","HUR","TOT","PC_LF","M","2021-06",8,
"FRA","HUR","TOT","PC_LF","M","2021-07",8,
"FRA","HUR","TOT","PC_LF","M","2021-08",8,
"DEU","HUR","TOT","PC_LF","M","2019-08",3,
"DEU","HUR","TOT","PC_LF","M","2019-09",3.1,
"DEU","HUR","TOT","PC_LF","M","2019-10",3.1,
"DEU","HUR","TOT","PC_LF","M","2019-11",3.2,
"DEU","HUR","TOT","PC_LF","M","2019-12",3.3,
"DEU","HUR","TOT","PC_LF","M","2020-01",3.4,
"DEU","HUR","TOT","PC_LF","M","2020-02",3.5,
"DEU","HUR","TOT","PC_LF","M","2020-03",3.6,
"DEU","HUR","TOT","PC_LF","M","2020-04",3.7,
"DEU","HUR","TOT","PC_LF","M","2020-05",3.8,
"DEU","HUR","TOT","PC_LF","M","2020-06",3.9,
"DEU","HUR","TOT","PC_LF","M","2020-07",4,
"DEU","HUR","TOT","PC_LF","M","2020-08",4.1,
"DEU","HUR","TOT","PC_LF","M","2020-09",4.1,
"DEU","HUR","TOT","PC_LF","M","2020-10",4.1,
"DEU","HUR","TOT","PC_LF","M","2020-11",4.1,
"DEU","HUR","TOT","PC_LF","M","2020-12",4,"B"
"DEU","HUR","TOT","PC_LF","M","2021-01",3.9,
"DEU","HUR","TOT","PC_LF","M","2021-02",3.9,
"DEU","HUR","TOT","PC_LF","M","2021-03",3.8,
"DEU","HUR","TOT","PC_LF","M","2021-04",3.8,"P"
"DEU","HUR","TOT","PC_LF","M","2021-05",3.7,"P"
"DEU","HUR","TOT","PC_LF","M","2021-06",3.7,"P"
"DEU","HUR","TOT","PC_LF","M","2021-07",3.6,"P"
"DEU","HUR","TOT","PC_LF","M","2021-08",3.6,"P"
"GRC","HUR","TOT","PC_LF","M","2019-08",16.6,
"GRC","HUR","TOT","PC_LF","M","2019-09",16.8,
"GRC","HUR","TOT","PC_LF","M","2019-10",16.9,
"GRC","HUR","TOT","PC_LF","M","2019-11",16.5,
"GRC","HUR","TOT","PC_LF","M","2019-12",16.4,
"GRC","HUR","TOT","PC_LF","M","2020-01",16.7,
"GRC","HUR","TOT","PC_LF","M","2020-02",15.9,
"GRC","HUR","TOT","PC_LF","M","2020-03",16.2,
"GRC","HUR","TOT","PC_LF","M","2020-04",16.3,
"GRC","HUR","TOT","PC_LF","M","2020-05",16.8,
"GRC","HUR","TOT","PC_LF","M","2020-06",17.5,
"GRC","HUR","TOT","PC_LF","M","2020-07",16.7,
"GRC","HUR","TOT","PC_LF","M","2020-08",16.7,
"GRC","HUR","TOT","PC_LF","M","2020-09",16.2,
"GRC","HUR","TOT","PC_LF","M","2020-10",16.3,
"GRC","HUR","TOT","PC_LF","M","2020-11",16,
"GRC","HUR","TOT","PC_LF","M","2020-12",15.6,"B"
"GRC","HUR","TOT","PC_LF","M","2021-01",16.4,
"GRC","HUR","TOT","PC_LF","M","2021-02",16.5,
"GRC","HUR","TOT","PC_LF","M","2021-03",17.2,
"GRC","HUR","TOT","PC_LF","M","2021-04",17.4,
"GRC","HUR","TOT","PC_LF","M","2021-05",15.8,
"GRC","HUR","TOT","PC_LF","M","2021-06",14.9,
"GRC","HUR","TOT","PC_LF","M","2021-07",14.2,
"GRC","HUR","TOT","PC_LF","M","2021-08",13.2,
"HUN","HUR","TOT","PC_LF","M","2019-08",3.3,
"HUN","HUR","TOT","PC_LF","M","2019-09",3.4,
"HUN","HUR","TOT","PC_LF","M","2019-10",3.5,
"HUN","HUR","TOT","PC_LF","M","2019-11",3.5,
"HUN","HUR","TOT","PC_LF","M","2019-12",3,
"HUN","HUR","TOT","PC_LF","M","2020-01",3.6,
"HUN","HUR","TOT","PC_LF","M","2020-02",3.5,
"HUN","HUR","TOT","PC_LF","M","2020-03",3.4,
"HUN","HUR","TOT","PC_LF","M","2020-04",3.6,
"HUN","HUR","TOT","PC_LF","M","2020-05",4.9,
"HUN","HUR","TOT","PC_LF","M","2020-06",4.9,
"HUN","HUR","TOT","PC_LF","M","2020-07",4.3,
"HUN","HUR","TOT","PC_LF","M","2020-08",4.3,
"HUN","HUR","TOT","PC_LF","M","2020-09",4.2,
"HUN","HUR","TOT","PC_LF","M","2020-10",4,
"HUN","HUR","TOT","PC_LF","M","2020-11",4.3,
"HUN","HUR","TOT","PC_LF","M","2020-12",4.2,
"HUN","HUR","TOT","PC_LF","M","2021-01",4.5,
"HUN","HUR","TOT","PC_LF","M","2021-02",4.5,
"HUN","HUR","TOT","PC_LF","M","2021-03",4,
"HUN","HUR","TOT","PC_LF","M","2021-04",4.1,
"HUN","HUR","TOT","PC_LF","M","2021-05",4.3,
"HUN","HUR","TOT","PC_LF","M","2021-06",4.1,
"HUN","HUR","TOT","PC_LF","M","2021-07",4.2,
"HUN","HUR","TOT","PC_LF","M","2021-08",4.2,
"ISL","HUR","TOT","PC_LF","M","2019-08",4.2,
"ISL","HUR","TOT","PC_LF","M","2019-09",4.2,
"ISL","HUR","TOT","PC_LF","M","2019-10",4.2,
"ISL","HUR","TOT","PC_LF","M","2019-11",4.2,
"ISL","HUR","TOT","PC_LF","M","2019-12",4.4,
"ISL","HUR","TOT","PC_LF","M","2020-01",4.6,
"ISL","HUR","TOT","PC_LF","M","2020-02",4.9,
"ISL","HUR","TOT","PC_LF","M","2020-03",5.3,
"ISL","HUR","TOT","PC_LF","M","2020-04",5.7,
"ISL","HUR","TOT","PC_LF","M","2020-05",6,
"ISL","HUR","TOT","PC_LF","M","2020-06",6.3,
"ISL","HUR","TOT","PC_LF","M","2020-07",6.5,
"ISL","HUR","TOT","PC_LF","M","2020-08",6.7,
"ISL","HUR","TOT","PC_LF","M","2020-09",6.8,
"ISL","HUR","TOT","PC_LF","M","2020-10",7,
"ISL","HUR","TOT","PC_LF","M","2020-11",7.1,
"ISL","HUR","TOT","PC_LF","M","2020-12",7.1,
"ISL","HUR","TOT","PC_LF","M","2021-01",7,
"ISL","HUR","TOT","PC_LF","M","2021-02",7,
"ISL","HUR","TOT","PC_LF","M","2021-03",7,
"ISL","HUR","TOT","PC_LF","M","2021-04",6.9,
"ISL","HUR","TOT","PC_LF","M","2021-05",6.6,
"ISL","HUR","TOT","PC_LF","M","2021-06",6.3,
"ISL","HUR","TOT","PC_LF","M","2021-07",6.1,
"ISL","HUR","TOT","PC_LF","M","2021-08",6,
"IRL","HUR","TOT","PC_LF","M","2019-08",4.9,
"IRL","HUR","TOT","PC_LF","M","2019-09",4.8,
"IRL","HUR","TOT","PC_LF","M","2019-10",4.7,
"IRL","HUR","TOT","PC_LF","M","2019-11",4.8,
"IRL","HUR","TOT","PC_LF","M","2019-12",4.8,
"IRL","HUR","TOT","PC_LF","M","2020-01",4.8,
"IRL","HUR","TOT","PC_LF","M","2020-02",4.8,
"IRL","HUR","TOT","PC_LF","M","2020-03",5,
"IRL","HUR","TOT","PC_LF","M","2020-04",4.7,
"IRL","HUR","TOT","PC_LF","M","2020-05",5.1,
"IRL","HUR","TOT","PC_LF","M","2020-06",5.7,
"IRL","HUR","TOT","PC_LF","M","2020-07",6.7,
"IRL","HUR","TOT","PC_LF","M","2020-08",7.1,
"IRL","HUR","TOT","PC_LF","M","2020-09",7.2,
"IRL","HUR","TOT","PC_LF","M","2020-10",6.3,
"IRL","HUR","TOT","PC_LF","M","2020-11",6.2,
"IRL","HUR","TOT","PC_LF","M","2020-12",6.3,
"IRL","HUR","TOT","PC_LF","M","2021-01",7,
"IRL","HUR","TOT","PC_LF","M","2021-02",7.5,
"IRL","HUR","TOT","PC_LF","M","2021-03",7.6,
"IRL","HUR","TOT","PC_LF","M","2021-04",7.4,
"IRL","HUR","TOT","PC_LF","M","2021-05",7,
"IRL","HUR","TOT","PC_LF","M","2021-06",6.8,
"IRL","HUR","TOT","PC_LF","M","2021-07",6.5,
"IRL","HUR","TOT","PC_LF","M","2021-08",6.5,
"IRL","HUR","TOT","PC_LF","M","2021-09",6.4,
"ITA","HUR","TOT","PC_LF","M","2019-08",9.6,"P"
"ITA","HUR","TOT","PC_LF","M","2019-09",9.8,"P"
"ITA","HUR","TOT","PC_LF","M","2019-10",9.7,"P"
"ITA","HUR","TOT","PC_LF","M","2019-11",10,"P"
"ITA","HUR","TOT","PC_LF","M","2019-12",9.9,"P"
"ITA","HUR","TOT","PC_LF","M","2020-01",9.7,"P"
"ITA","HUR","TOT","PC_LF","M","2020-02",9.7,"P"
"ITA","HUR","TOT","PC_LF","M","2020-03",7.3,"P"
"ITA","HUR","TOT","PC_LF","M","2020-04",7.4,"P"
"ITA","HUR","TOT","PC_LF","M","2020-05",8.5,"P"
"ITA","HUR","TOT","PC_LF","M","2020-06",9.5,"P"
